codigo,aids,animais,dengue,hanseniase,hepatites,sadquirida,scongenita,sgestante,toxico,tuberculose,autoprovocada_sim,autoprovocada_não,violencia,estabelecimentos,profissionais,estado,metropolitana,amazonia,semiarido,agropecuaria,industria,servicos,servicos_basicos,impostos,pib,per_capita,populacao,latitude,longitude,regiao,nascimentos,mortalidade_geral,mortalidade_infantil
316805,1,127,237,0,1,6,0,0,7,1,11,55,66,5,18,MG,0,0,0,5510.0,2082.0,10725.0,18671.0,1342.0,38331.0,12325.01,3110,-19.7626,-41.6083,SE,211,152,0
316810,1,191,12,2,1,1,0,0,41,2,48,131,181,3,13,MG,0,0,0,63242.0,222224.0,79636.0,43361.0,47048.0,455512.0,95435.06,4773,-19.9231,-46.8222,SE,267,128,1
316830,1,113,318,0,0,3,1,3,22,1,7,38,78,6,18,MG,1,0,0,4355.0,3634.0,17195.0,22324.0,2268.0,49776.0,12208.98,4077,-19.6657,-43.6926,SE,194,135,0
316840,2,74,66,19,3,5,6,10,9,27,6,36,42,17,44,MG,0,0,0,13033.0,7927.0,63524.0,60074.0,6878.0,151436.0,10570.69,14326,-19.2788,-42.0119,SE,700,629,7
316850,6,49,140,2,2,7,1,1,23,10,4,20,30,15,37,MG,0,0,0,16237.0,10868.0,63253.0,50371.0,7968.0,148698.0,12751.77,11661,-20.6566,-42.8568,SE,575,423,3
316860,111,2753,6361,71,117,378,161,136,618,217,425,1027,1518,474,956,MG,0,0,0,42830.0,308662.0,1536522.0,570608.0,239499.0,2698122.0,19191.15,140592,-17.86,-41.5091,SE,9597,5301,141
316870,40,156,2975,13,61,176,34,71,78,57,72,177,252,140,314,MG,1,0,0,1000.0,1297259.0,1064035.0,402713.0,400891.0,3165898.0,35238.51,89842,-19.5764,-42.648,SE,5058,2524,41
316880,9,51,290,2,1,20,8,8,58,6,7,38,63,7,20,MG,0,0,0,3158.0,13334.0,117475.0,38627.0,11795.0,184389.0,23103.54,7981,-21.1107,-44.1748,SE,431,256,3
316900,9,47,1833,11,6,46,4,10,9,42,21,85,106,17,56,MG,0,0,0,27334.0,33100.0,136810.0,71456.0,26900.0,295600.0,17744.17,16659,-21.1779,-43.0131,SE,968,683,12
316905,1,67,2,0,0,1,0,0,20,1,11,12,25,6,13,MG,0,0,0,13179.0,2057.0,15065.0,20530.0,2163.0,52993.0,12921.98,4101,-22.3703,-46.0975,SE,171,122,0
316920,7,62,224,5,8,7,0,1,46,7,13,149,163,35,63,MG,0,0,0,6958.0,3950.0,43027.0,37725.0,5648.0,97309.0,12130.28,8022,-20.9091,-42.0231,SE,467,439,4
