"cidade","hanseniase"
"210542 Itinga do Maranhão",146
"210545 Jatobá",5
"210547 Jenipapo dos Vieiras",23
"210550 João Lisboa",83
"210560 Joselândia",34
"210565 Junco do Maranhão",18
"210570 Lago da Pedra",333
"210580 Lago do Junco",37
"210594 Lago dos Rodrigues",31
"210590 Lago Verde",80
"210592 Lagoa do Mato",3
"210596 Lagoa Grande do Maranhão",70
"210598 Lajeado Novo",10
"210600 Lima Campos",44
"210610 Loreto",19
"210620 Luís Domingues",14
"210630 Magalhães de Almeida",19
"210632 Maracaçumé",88
"210635 Marajá do Sena",21
"210637 Maranhãozinho",46
"210640 Mata Roma",12
"210650 Matinha",40
"210660 Matões",49
"210663 Matões do Norte",46
"210667 Milagres do Maranhão",8
"210670 Mirador",12
"210675 Miranda do Norte",72
"210680 Mirinzal",23
"210690 Monção",117
"210700 Montes Altos",10
"210710 Morros",15
"210720 Nina Rodrigues",18
"210725 Nova Colinas",3
"210730 Nova Iorque",3
"210735 Nova Olinda do Maranhão",57
"210740 Olho d'Água das Cunhãs",63
"210745 Olinda Nova do Maranhão",25
"210750 Paço do Lumiar",370
"210760 Palmeirândia",27
"210770 Paraibano",25
"210780 Parnarama",49
"210790 Passagem Franca",37
"210800 Pastos Bons",17
"210805 Paulino Neves",31
"210810 Paulo Ramos",91
"210820 Pedreiras",173
"210825 Pedro do Rosário",54
"210830 Penalva",117
"210840 Peri Mirim",15
"210845 Peritoró",62
"210850 Pindaré-Mirim",221
"210860 Pinheiro",231
"210870 Pio XII",66
"210880 Pirapemas",56
"210890 Poção de Pedras",43
"210900 Porto Franco",50
"210905 Porto Rico do Maranhão",5
"210910 Presidente Dutra",235
"210920 Presidente Juscelino",22
"210923 Presidente Médici",8
"210927 Presidente Sarney",38
"210930 Presidente Vargas",27
"210940 Primeira Cruz",20
"210945 Raposa",73
"210950 Riachão",57
"210955 Ribamar Fiquene",22
"210960 Rosário",115
"210970 Sambaíba",7
"210975 Santa Filomena do Maranhão",10
"210980 Santa Helena",124
"210990 Santa Inês",430
"211000 Santa Luzia",388
"211003 Santa Luzia do Paruá",100
"211010 Santa Quitéria do Maranhão",24
"211020 Santa Rita",96
"211023 Santana do Maranhão",13
"211027 Santo Amaro do Maranhão",26
"211030 Santo Antônio dos Lopes",56
"211040 São Benedito do Rio Preto",9
"211050 São Bento",73
"211060 São Bernardo",20
"211065 São Domingos do Azeitão",5
"211070 São Domingos do Maranhão",78
"211080 São Félix de Balsas",3
"211085 São Francisco do Brejão",15
"211090 São Francisco do Maranhão",12
"211100 São João Batista",32
"211102 São João do Carú",122
"211105 São João do Paraíso",7
"211107 São João do Soter",35
"211110 São João dos Patos",64
"211120 São José de Ribamar",845
"211125 São José dos Basílios",16
"211130 São Luís",3085
"211140 São Luís Gonzaga do Maranhão",126
"211150 São Mateus do Maranhão",204
"211153 São Pedro da Água Branca",55
"211157 São Pedro dos Crentes",2
"211160 São Raimundo das Mangabeiras",47
"211163 São Raimundo do Doca Bezerra",22
"211167 São Roberto",19
"211170 São Vicente Ferrer",18
"211172 Satubinha",26
"211174 Senador Alexandre Costa",11
"211176 Senador La Rocque",86
"211178 Serrano do Maranhão",33
"211180 Sítio Novo",24
"211190 Sucupira do Norte",2
"211200 Tasso Fragoso",49
"211210 Timbiras",62
"211220 Timon",564
"211223 Trizidela do Vale",111
"211227 Tufilândia",8
"211230 Tuntum",128
"211240 Turiaçu",29
"211245 Turilândia",75
"211250 Tutóia",62
"211260 Urbano Santos",33
"211270 Vargem Grande",152
"211280 Viana",131
"211285 Vila Nova dos Martírios",35
"211290 Vitória do Mearim",125
"211300 Vitorino Freire",86
"211400 Zé Doca",352
"210000 Município ignorado - MA",1
"220005 Acauã",4
"220010 Agricolândia",10
"220020 Água Branca",30
"220025 Alagoinha do Piauí",5
"220027 Alegrete do Piauí",15
"220030 Alto Longá",17
"220040 Altos",74
"220045 Alvorada do Gurguéia",7
"220050 Amarante",29
"220060 Angical do Piauí",8
"220070 Anísio de Abreu",5
"220080 Antônio Almeida",1
"220090 Aroazes",2
"220095 Aroeiras do Itaim",3
"220100 Arraial",16
"220105 Assunção do Piauí",11
"220110 Avelino Lopes",12
"220115 Baixa Grande do Ribeiro",29
"220117 Barra D'Alcântara",4
"220120 Barras",133
"220130 Barreiras do Piauí",3
"220140 Barro Duro",30
"220150 Batalha",32
"220157 Belém do Piauí",2
"220160 Beneditinos",21
"220170 Bertolínia",2
"220173 Betânia do Piauí",2
"220177 Boa Hora",11
"220180 Bocaina",2
"220190 Bom Jesus",60
"220191 Bom Princípio do Piauí",7
"220192 Bonfim do Piauí",7
"220194 Boqueirão do Piauí",2
"220196 Brasileira",10
"220198 Brejo do Piauí",1
"220200 Buriti dos Lopes",67
"220202 Buriti dos Montes",2
"220205 Cabeceiras do Piauí",16
"220207 Cajazeiras do Piauí",2
"220208 Cajueiro da Praia",1
"220209 Caldeirão Grande do Piauí",1
"220210 Campinas do Piauí",8
"220211 Campo Alegre do Fidalgo",3
"220213 Campo Grande do Piauí",21
"220217 Campo Largo do Piauí",3
"220220 Campo Maior",132
"220225 Canavieira",4
"220230 Canto do Buriti",39
"220240 Capitão de Campos",8
"220250 Caracol",9
"220253 Caraúbas do Piauí",6
"220255 Caridade do Piauí",1
"220260 Castelo do Piauí",34
"220265 Caxingó",11
"220270 Cocal",34
"220271 Cocal de Telha",14
"220272 Cocal dos Alves",4
"220273 Coivaras",7
"220275 Colônia do Gurguéia",13
"220277 Colônia do Piauí",21
"220280 Conceição do Canindé",1
"220285 Coronel José Dias",2
"220290 Corrente",68
"220300 Cristalândia do Piauí",1
